show_id,type,title,listed_in,description
81004470,Movie,Animal World,Action & Adventure  International Movies  Sci-Fi & Fantasy,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
80157072,Movie,Hold the Dark,Action & Adventure  Dramas,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery."
81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,Documentaries,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
80201933,TV Show,Made in Mexico,International TV Shows  Reality TV  Spanish-Language TV Shows,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles."
81002864,Movie,Single,Comedies  International Movies  Romantic Movies,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother."
81016750,Movie,The 3rd Eye,Horror Movies  International Movies,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
81002866,Movie,The Sinking Of Van Der Wijck,Dramas  International Movies  Romantic Movies,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
80992039,Movie,Two Catalonias,Documentaries  International Movies,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
80126507,Movie,Bobby Sands: 66 Days,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
80225885,TV Show,Bard of Blood,International TV Shows  TV Action & Adventure  TV Dramas,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
81132443,Movie,Deliha 2,Comedies  International Movies,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways."
80218107,TV Show,Dragons: Rescue Riders,Kids' TV  TV Comedies,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way."
80231903,Movie,In the Shadow of the Moon,Dramas  Sci-Fi & Fantasy  Thrillers,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.
80220715,TV Show,Skylines,Crime TV Shows  International TV Shows  TV Dramas,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.
81171121,Movie,Sturgill Simpson Presents Sound & Fury,Anime Features  Music & Musicals  Sci-Fi & Fantasy,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents."
80241248,TV Show,The Politician,TV Comedies  TV Dramas  Teen TV Shows,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
81012295,Movie,Weeds on Fire,Dramas  Independent Movies  International Movies,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league."
80060037,Movie,Much Loved,Dramas  Independent Movies  International Movies,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.
60003155,Movie,Joseph: King of Dreams,Children & Family Movies  Dramas  Faith & Spirituality,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story."
81177238,Movie,Malaal,International Movies  Romantic Movies,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl."
70270775,Movie,The Grandmaster,Action & Adventure  Dramas  International Movies,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village."
81025403,TV Show,The Inmate,Crime TV Shows  International TV Shows  Spanish-Language TV Shows,A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.
80215923,Movie,The Hurricane Heist,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
80151483,Movie,Def Comedy Jam 25,Stand-Up Comedy,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
80173625,Movie,Restless Creature: Wendy Whelan,Documentaries,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life."
80005444,Movie,Print the Legend,Documentaries,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution."
80244682,Movie,Birders,Documentaries  International Movies,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.
81075519,Movie,Furie,Action & Adventure  Dramas  International Movies,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors."
80166318,Movie,Leap!,Children & Family Movies  Comedies,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights."
81186758,Movie,Oh! Baby (Malayalam),Comedies  International Movies  Music & Musicals,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
81186757,Movie,Oh! Baby (Tamil),Comedies  International Movies  Music & Musicals,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
80108976,Movie,USS Indianapolis: Men of Courage,Action & Adventure,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks."
80208155,Movie,A Wrinkle in Time,Children & Family Movies,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness."
80198423,Movie,Teach Us All,Documentaries,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that."
80162144,Movie,White Island,Comedies  Independent Movies  Thrillers,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left."
81053953,Movie,Inside Man: Most Wanted,Action & Adventure,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.
81074113,Movie,Jeff Dunham: Beside Himself,Stand-Up Comedy,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture."
80992496,Movie,China Salesman,Action & Adventure  International Movies,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.
70304191,Movie,Swearnet: The Movie,Comedies  International Movies,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences."
80103311,Movie,The Bar,Comedies  Horror Movies  International Movies,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.
81176200,Movie,Manmadhudu 2,Comedies  Dramas  International Movies,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
80238106,TV Show,Team Kaylie,Kids' TV  TV Comedies,"After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader."
80208906,Movie,Under the Eiffel Tower,Comedies  Independent Movies  Romantic Movies,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.
80097321,Movie,Audrie & Daisy,Documentaries,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities."
80106966,Movie,Iliza Shlesinger: Confirmed Kills,Stand-Up Comedy,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
81004814,TV Show,BONDING,TV Comedies  TV Dramas,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
